stimuli	p
definitely	98
depends	58
hmm, I'd say yes in general 	69
yep	97
it's possible, but generally i guess i'd say no 	22
rarely	17
usually	68
yes, in general	78
not certainly	34
possibly	59
I'm going to say yes	88
no, it can be but not necessarily	29
in general no	5
no, not generally	10
I'm going to say yes	91
yes!	100
yes to some extent	69
not definitely	58
yes!!!	100
:) not sure, maybe	25
I think so	74
certainly not	61
possibly	61
not that much	19
generally	87
yes to some extent	61
no not exactly	18
usually not	11
yes!!!	98
:) not sure, maybe	55
yep	1
certainly	99
yes, definitely	98
not possibly	15
it's possible, but generally i guess i'd say no 	24
no, not at all	5
probably	89
yes, it could	64
depends	58
yes, that's right	98
probably	87
could be both yes and no	50
yes, it is possible	73
no in general	19
yes in general	95
yes in general	85
not definitely	28
yes, that's right	98
YES!!!	100
yes I suppose	86
not quite	37
usually not	63
no, not normally	15
not really	12
nope	0
in general, no	25
definitely	96
almost	91
NO!	0
no not necessarily at least	25
yes	100
possibly not	25
yes it can be	90
yes, in general	95
usually	92
I think so...	86
no not really	13
no	99
yes to some extent	71
possibly, yes	67
yes at least possibly	70
no not exactly	14
yes, definitely	98
rarely	79
no it doesn't really relate	5
no not really	10
perhaps	52
perhaps	62
it can be but not necessarily	29
i would say yes	92
generally	57
YESSSSS!!!!! :):)	100
possibly	61
hmm not exactly... (but again one could) 	42
nope	26
no, not at all	0
it depends	66
possibly not	97
eh... yes, you could say so. 	89
sometimes	62
hmm, I'd say yes in general 	94
usually	52
not certainly	5
it's possible, but generally i guess i'd say no 	30
:) not sure, maybe	1
no, not necessarily	21
I don't think so	21
no, not at all	63
not exactly	29
no in general	54
no, it can be but not necessarily	67
generally	13
yes, very likely	81
possibly, yes	64
no not necessarily at least	34
yep	0
no not really	10
no not necessarily but could be	44
no it doesn't really relate	57
probably not	100
Uhm not necessarily	28
perhaps	100
hmm, I'd say yes in general 	56
yes I suppose	83
no	0
no not necessarily but could be	22
in general, no	6
in general yes	99
yes but not necessarily	69
yes at least possibly	51
possibly	100
could be but not necessarily	56
no, not necessarily	58
mostly not	6
certainly not	0
I'm going to say yes	85
yes!!!	100
nope	0
in general no	100
mostly not	33
definitely not	0
usually	100
I think so kind of	27
yes	0
yes, I think so	54
hmm not exactly... (but again one could) 	100
no not really	54
kind of	99
yea	0
yes	100
no, not at all	0
yes	83
not really	100
no	8
yes it can be	100
usually not	51
I think so	53
yup	0
hmm, I'd say yes in general 	100
I think so	97
possibly	63
not necessarily	44
:) not sure, maybe	100
yes, it is possible	53
no, not necessarily	100
mostly	63
probably	68
no, it can be but not necessarily	100
yup	22
not definitely	24
possibly	76
yes, it is possible	100
sometimes	65
perhaps	63
yes definitely	72
mostly not	100
I don't think so	23
probably not	30
sort of	82
eh... yes, you could say so. 	100
not probably	29
ah...hmmmm.... i guess i have to say no... 	57
probably not	33
yes in general	100
certainly	88
I think so	78
not definitely	23
I think so...	41
i would say yes	100
nope	0
it depends	61
not that much	100
sort of	70
not probably	24
definitely	99
sort of	43
it's possible, but generally i guess i'd say no 	100
not certainly	20
I think so kind of	100
YESSSSS!!!!! :):)	96
certainly not	29
yes to some extent	99
sometimes	100
it depends	59
probably	51
definitely not	19
not necessarily	100
yes!!	99
yes but not necessarily	21
not necessarily	27
certainly	70
depends	100
almost	86
yes it can be	47
yes!!	0
yes!	100
not certainly	40
yes to some extent	51
no not necessarily at least	100
no, it can be but not necessarily	5
not necessarily	21
yes, it can be	100
that's a hard one... I guess not really	36
no, not necessarily	14
generally yes, but not necessarily	56
not quite	100
no not necessarily but could be	100
yes but not necessarily	58
nono	0
yes at least possibly	100
kind of	57
no it doesn't really relate	29
almost	100
it's possible, but generally i guess i'd say no 	42
no in general	100
depends	47
not that much	35
it's possible, but generally i guess i'd say no 	19
could be but not necessarily	56
no it doesn't really relate	100
:) not sure, maybe	41
no it doesn't really relate	43
usually, yes	100
mostly not	19
no not really	30
yes, I think so	87
yea	71
that's a hard one... I guess not really	22
yes usually	93
not exactly	34
YESSSSS!!!!! :):)	98
could be both yes and no	55
not really	22
no not necessarily but could be	45
yes but not necessarily	78
yes at least possibly	57
yes, it could	62
yes!!!	98
hmm, I'd say yes in general 	62
yup	87
in general, no	43
no, it can be but not necessarily	31
no not necessarily at least	53
i would say yes	85
no, not generally	45
yes it can be	75
yes, I think so	60
usually, yes	82
I think so kind of	64
YES!!!	100
yes, it could	85
eh... yes, you could say so. 	67
no	22
yes at least possibly	71
yes, definitely	97
Uhm not necessarily	28
yes, it is possible	69
it can be but not necessarily	39
not exactly	41
could be both yes and no	56
yes, in general	67
probably	77
perhaps	65
not possibly	5
yes, it is possible	73
usually	73
definitely	97
NO!	2
probably	80
yes, it can be	65
not usually	22
yes I suppose	80
it depends	64
yep	100
almost	78
definitely not	0
yup	92
I don't think so	18
definitely	100
certainly not	21
not definitely	11
not probably	59
no	0
yes	100
probably not	12
not probably	29
maybe	66
no, not generally	38
no, not normally	24
yes, that's right	80
hmm, I'd say yes in general 	56
sometimes	34
yes, very likely	100
yes but not necessarily	76
definitely not	12
probably	65
yes!!!	100
sometimes	58
possibly not	19
no	0
yep	94
not probably	25
yes	100
I think so	76
no, not at all	9
no not exactly	28
probably	67
certainly not	0
possibly	80
generally	86
it depends	42
no in general	25
not possibly	0
possibly	58
usually, yes	82
definitely not	0
yep	91
not usually	4
not certainly	0
definitely	100
in general no	0
generally	60
rarely	9
yes at least possibly	65
sort of	61
I think so	75
hmm not exactly... (but again one could) 	26
generally	76
usually	61
possibly not	24
I think so kind of	71
perhaps	59
yes!!	100
certainly	100
kind of	41
yes	69
probably not	0
yes!	100
no	72
could be but not necessarily	39
YES!!!	100
usually	70
not that much	25
yes, it is possible	100
definitely	67
yes, that's right	99
in general, no	26
possibly	75
possibly but it's doubtful	40
YESSSSS!!!!! :):)	88
probably not	68
maybe	54
yes, it could	73
mostly	44
yes i would assume so yes 	80
could be but not necessarily	20
yes, definitely	100
nope	46
yes!	100
yes to some extent	69
not exactly	39
yes definitely	100
probably	73
NO!	3
almost	50
yes it can be	88
depends	53
not usually	70
yes, I think so	91
I'm going to say yes	87
sort of	70
almost	73
not quite	15
rarely	71
eh... yes, you could say so. 	84
yes at least possibly	81
YESSSSS!!!!! :):)	100
kind of	52
not possibly	71
depends	47
could be both yes and no	50
I don't think so	76
yea	94
no, not normally	14
yes, I think so	69
yes it can be	66
yes, very likely	86
not that much	69
no, not usuallly	0
yes, definitely	86
usually, yes	92
not really	68
Uhm not necessarily	12
no, not at all	0
that's a hard one... I guess not really	12
yes, very likely	76
:) not sure, maybe	43
yes!!	100
i would say yes	72
that's a hard one... I guess not really	19
could be both yes and no	74
I think so kind of	66
no, it can be but not necessarily	70
no, not normally	0
no not necessarily at least	14
generally yes, but not necessarily	70
usually, yes	86
i would say yes	100
kind of	74
eh... yes, you could say so. 	1
yes!	100
in general, no	2
yes, it could	72
not usually	0
nono	42
nono	0
yes I suppose	89
I think so...	73
i would say yes	92
kind of	70
no, not generally	2
not exactly	68
not exactly	19
I think so...	62
hmm, I'd say yes in general 	43
almost	50
no not really	2
yes at least possibly	65
depends	50
yes at least possibly	77
possibly, yes	76
not really	22
hmm not exactly... (but again one could) 	69
no, not at all	0
yea	44
it can be but not necessarily	35
yes i would assume so yes 	74
no, not necessarily	0
Uhm not necessarily	74
eh... yes, you could say so. 	74
yes!	71
YES!!!	74
not that much	15
that's a hard one... I guess not really	69
in general no	83
no not necessarily but could be	72
yes definitely	76
yes, in general	77
no it doesn't really relate	78
I'm going to say yes	71
rarely	50
not probably	17
usually	82
in general no	87
probably	91
I don't think so	37
it depends	50
certainly	98
I think so	73
possibly not	17
certainly not	2
mostly	91
usually not	12
probably not	8
no	0
nope	11
generally	79
not probably	23
usually	84
not necessarily	22
could be but not necessarily	26
eh... yes, you could say so. 	65
no, not at all	1
possibly, yes	90
no not really	20
yes it can be	85
yes usually	92
I'm going to say yes	98
could be both yes and no	50
yes definitely	99
mostly not	22
that's a hard one... I guess not really	26
kind of	69
no, not normally	23
no not exactly	31
I think so kind of	65
yes, in general	96
not really	17
definitely	98
yes, that's right	100
yes, I think so	74
no not necessarily but could be	42
possibly but it's doubtful	33
yes i would assume so yes 	88
yes to some extent	87
yes, it is possible	77
perhaps	35
no it doesn't really relate	31
it's possible, but generally i guess i'd say no 	30
hmm not exactly... (but again one could) 	40
no, not necessarily	25
depends	50
not usually	58
usually not	61
mostly	66
yes	100
in general no	61
nope	0
definitely not	0
sometimes	67
it depends	50
in general yes	77
definitely	86
not definitely	57
no	0
not probably	26
I don't think so	26
certainly not	61
not certainly	27
certainly	98
generally	65
in general no	9
yes	81
possibly not	41
certainly	92
sort of	68
probably not	24
rarely	26
I think so	86
possibly not	37
possibly	68
not definitely	74
it can be but not necessarily	57
yes, it could	49
I think so...	61
not usually	67
not that much	61
no, not generally	71
no not really	35
yes, it can be	66
yes it can be	77
possibly	55
nope	25
YESSSSS!!!!! :):)	100
not definitely	28
no, not normally	6
yes in general	94
sort of	65
perhaps	73
no not necessarily but could be	87
usually, yes	92
nope	2
sometimes	76
usually	90
rarely	31
in general no	12
certainly not	0
not certainly	30
hmm, I'd say yes in general 	93
possibly not	40
definitely	33
yes, that's right	100
certainly	99
no, not usuallly	39
definitely not	20
definitely	98
yes, it could	100
rarely	18
yes!	100
generally	74
YES!!!	100
yes to some extent	64
mostly	85
not usually	23
i would say yes	100
I don't think so	21
yes, I think so	72
usually	86
I don't think so	70
not definitely	30
hmm not exactly... (but again one could) 	21
it depends	40
hmm, I'd say yes in general 	58
yup	97
not really	0
mostly not	4
eh... yes, you could say so. 	57
not exactly	69
yes, very likely	99
:) not sure, maybe	32
no, not necessarily	45
maybe	29
I'm going to say yes	100
yes, very likely	73
YESSSSS!!!!! :):)	100
yea	97
generally yes, but not necessarily	85
yes, it can be	68
depends	54
Uhm not necessarily	24
yes!	98
yes usually	63
yes, that's right	100
it can be but not necessarily	65
yes, definitely	81
no it doesn't really relate	6
yes but not necessarily	76
I'm going to say yes	90
no not really	3
I think so...	71
no not exactly	22
it's possible, but generally i guess i'd say no 	6
possibly but it's doubtful	50
possibly but it's doubtful	9
:) not sure, maybe	32
possibly, yes	60
eh... yes, you could say so. 	83
YES!!!	36
yes, in general	88
probably	72
no, not at all	1
generally yes, but not necessarily	87
nono	0
YESSSSS!!!!! :):)	26
NO!	1
nono	0
yes i would assume so yes 	89
NO!	75
yes in general	89
possibly, yes	72
yes definitely	100
perhaps	67
generally yes, but not necessarily	62
no, not usuallly	11
no not necessarily but could be	12
yes usually	89
ah...hmmmm.... i guess i have to say no... 	39
not that much	26
that's a hard one... I guess not really	44
yea	100
not possibly	14
yes to some extent	78
usually, yes	56
mostly not	16
probably	64
yes!!!	98
no	58
yep	94
it depends	49
no, it can be but not necessarily	63
yes	95
yes!	28
in general no	30
perhaps	53
certainly not	5
in general yes	64
possibly	54
sort of	50
usually	75
I think so	71
definitely not	4
probably not	21
maybe	49
yes definitely	100
yes i would assume so yes 	81
no not really	17
yes, it can be	77
yes, in general	76
no, it can be but not necessarily	29
yes, very likely	83
possibly but it's doubtful	36
could be but not necessarily	49
YES!!!	100
yes at least possibly	62
definitely	98
I think so kind of	57
yes to some extent	64
rarely	24
generally yes, but not necessarily	51
yes usually	77
I think so...	62
in general, no	27
yes it can be	64
possibly	82
I'm going to say yes	65
it can be but not necessarily	49
in general no	35
i would say yes	62
yep	63
yes, I think so	67
certainly	83
no in general	29
sometimes	51
not possibly	20
not quite	41
possibly not	64
in general no	50
ah...hmmmm.... i guess i have to say no... 	39
mostly	85
definitely not	92
yes, it could	62
definitely	91
no, not generally	32
I don't think so	90
yes, that's right	95
in general yes	50
:) not sure, maybe	51
in general yes	18
probably	92
I think so	90
it depends	80
mostly	75
rarely	40
yes, very likely	68
yep	99
YESSSSS!!!!! :):)	79
not definitely	37
yes but not necessarily	30
yes, in general	63
perhaps	49
generally yes, but not necessarily	77
not probably	20
nope	2
I think so kind of	23
possibly but it's doubtful	82
in general yes	75
mostly not	32
probably	57
not really	92
rarely	11
yup	63
yes	99
in general, no	24
sort of	53
perhaps	79
certainly	98
usually	95
definitely	100
probably not	50
no not necessarily at least	9
no	0
usually	50
definitely not	50
not possibly	50
not necessarily	90
not definitely	50
possibly not	50
maybe	90
mostly	50
not certainly	17
yes	50
certainly not	50
it depends	50
almost	80
generally	50
usually	82
not certainly	50
usually	50
yes, it is possible	71
in general yes	50
in general no	4
not usually	50
not certainly	3
yes!	86
certainly not	50
no, not generally	9
possibly not	50
not probably	50
certainly	50
Uhm not necessarily	85
not probably	50
yes, I think so	50
definitely	100
not necessarily	50
no not exactly	50
yea	84
it's possible, but generally i guess i'd say no 	50
yes, that's right	97
no in general	50
I don't think so	50
I think so kind of	50
yes definitely	98
no it doesn't really relate	50
hmm not exactly... (but again one could) 	66
probably	50
nope	86
could be both yes and no	50
sometimes	95
nope	50
no, not at all	2
hmm, I'd say yes in general 	34
ah...hmmmm.... i guess i have to say no... 	50
I'm going to say yes	98
I think so	50
sort of	50
that's a hard one... I guess not really	13
eh... yes, you could say so. 	28
I think so kind of	50
not quite	50
YESSSSS!!!!! :):)	50
yes, in general	50
no, not at all	92
yea	50
no not really	50
yes, it could	50
yes definitely	92
almost	50
yes usually	88
yes it can be	50
not that much	50
possibly, yes	85
that's a hard one... I guess not really	50
maybe	50
no not necessarily but could be	20
NO!	90
no, not necessarily	50
no	50
in general, no	50
yea	75
depends	77
no, not generally	50
YES!!!	50
no in general	24
probably	50
no in general	6
possibly	50
yes, that's right	50
yes, it can be	50
yes in general	89
in general yes	59
not usually	50
yes i would assume so yes 	74
perhaps	92
yes but not necessarily	50
NO!	2
possibly, yes	50
no, not necessarily	90
:) not sure, maybe	50
not definitely	58
possibly but it's doubtful	9
yes, it can be	79
nope	62
yes in general	50
not exactly	14
certainly not	60
yes!	99
not usually	88
definitely	89
possibly, yes	85
perhaps	50
could be but not necessarily	50
certainly	89
hmm, I'd say yes in general 	83
no	91
yes, that's right	50
not probably	86
in general no	20
yes, definitely	100
sort of	89
not possibly	91
in general yes	70
it depends	87
yes!!	50
YESSSSS!!!!! :):)	100
possibly	93
yes, it could	50
rarely	88
no not really	1
possibly	34
yes	90
yes definitely	50
not probably	12
yes!	91
I think so...	53
I'm going to say yes	89
definitely not	0
usually, yes	86
i would say yes	50
could be both yes and no	58
not necessarily	62
no, not at all	50
I think so	58
that's a hard one... I guess not really	50
yes to some extent	71
not definitely	13
I think so...	58
yes I suppose	50
I think so kind of	60
yes, it could	71
probably	63
not that much	23
ah...hmmmm.... i guess i have to say no... 	60
no, not necessarily	50
yes, I think so	86
yes, that's right	90
not possibly	0
could be but not necessarily	91
I think so	67
definitely	50
sort of	50
yes i would assume so yes 	89
yes, it could	87
no	0
yes, it can be	87
yes!	50
not certainly	39
no, not necessarily	90
mostly not	11
not exactly	50
not that much	88
definitely	89
probably	90
I'm going to say yes	50
I don't think so	28
I think so...	50
eh... yes, you could say so. 	86
sometimes	50
no it doesn't really relate	91
no not really	30
yes!!!	50
YESSSSS!!!!! :):)	50
hmm, I'd say yes in general 	93
YES!!!	100
yes i would assume so yes 	50
yup	90
almost	89
not really	24
generally yes, but not necessarily	50
yes but not necessarily	92
maybe	50
yup	50
yes!!!	86
Uhm not necessarily	90
mostly not	41
that's a hard one... I guess not really	89
no not necessarily but could be	50
no in general	17
hmm not exactly... (but again one could) 	90
yes	50
it can be but not necessarily	92
in general, no	50
no, not generally	89
yes, I think so	60
no, not usuallly	50
I think so kind of	10
yes it can be	92
generally	50
no, not normally	91
yes in general	50
yes I suppose	89
yes i would assume so yes 	65
maybe	50
not certainly	46
yes to some extent	57
mostly	69
yes it can be	56
no	32
depends	50
possibly	64
no, not normally	29
in general no	43
nope	20
yea	65
possibly not	54
not usually	45
no it doesn't really relate	37
usually	77
definitely not	18
yes, it could	61
not necessarily	41
rarely	44
no, not necessarily	37
yep	88
it can be but not necessarily	46
not possibly	44
it's possible, but generally i guess i'd say no 	28
it depends	63
sort of	65
not exactly	45
I'm going to say yes	55
no, not necessarily	52
I think so...	55
sometimes	50
yes	92
perhaps	57
no, it can be but not necessarily	36
possibly but it's doubtful	57
no not necessarily at least	40
yes, very likely	73
almost	65
yes in general	67
I don't think so	48
it's possible, but generally i guess i'd say no 	41
definitely not	17
yes!!	95
ah...hmmmm.... i guess i have to say no... 	38
usually not	42
no in general	43
in general no	37
yup	58
possibly	57
certainly	69
no, not usuallly	39
it depends	50
certainly not	12
no it doesn't really relate	30
rarely	51
no, it can be but not necessarily	55
yes	91
not probably	44
nope	13
sometimes	68
probably	58
sort of	54
ah...hmmmm.... i guess i have to say no... 	43
probably not	41
no, not normally	34
yes but not necessarily	55
probably	73
yes, it could	55
no	8
no not necessarily at least	48
i would say yes	77
generally yes, but not necessarily	57
no	1
no, not necessarily	41
not necessarily	54
eh... yes, you could say so. 	70
ah...hmmmm.... i guess i have to say no... 	45
not certainly	0
yes i would assume so yes 	81
not quite	53
yes at least possibly	70
in general no	0
no not really	43
yes definitely	90
in general yes	100
I think so...	55
mostly not	44
not definitely	17
possibly but it's doubtful	55
possibly, yes	65
definitely	100
nono	88
nope	0
I don't think so	45
no, not at all	17
perhaps	63
yes, very likely	60
in general, no	35
not exactly	55
sort of	66
yes!!!	94
yes, it could	68
I think so	81
no not necessarily at least	46
yes in general	62
hmm not exactly... (but again one could) 	56
probably not	8
not necessarily	44
sometimes	56
Uhm not necessarily	46
no not exactly	43
probably	83
I think so	58
maybe	58
almost	61
sometimes	72
in general, no	33
could be but not necessarily	61
not possibly	8
yes	100
yes, it can be	65
generally yes, but not necessarily	91
yes definitely	97
yes it can be	58
almost	94
definitely	96
it depends	99
yes at least possibly	60
possibly but it's doubtful	41
yup	72
not exactly	12
not really	9
I think so	100
yea	100
definitely not	14
probably	100
I don't think so	9
not definitely	84
sort of	100
generally	100
that's a hard one... I guess not really	13
not possibly	15
probably not	83
certainly not	21
not usually	100
yes!!	99
I don't think so	100
rarely	100
sometimes	100
could be both yes and no	50
nope	32
no, not generally	5
no not really	70
I think so kind of	1
hmm, I'd say yes in general 	92
hmm not exactly... (but again one could) 	100
could be but not necessarily	100
no in general	5
no, not usuallly	100
yes, very likely	84
eh... yes, you could say so. 	86
perhaps	99
not exactly	100
almost	100
yes, it is possible	98
Uhm not necessarily	5
yes to some extent	100
yes!	89
no it doesn't really relate	1
no, it can be but not necessarily	100
not that much	38
it can be but not necessarily	100
yup	80
yes to some extent	74
no not exactly	86
not that much	98
depends	100
:) not sure, maybe	57
i would say yes	78
no, not at all	19
yes, in general	91
nono	1
no, not normally	77
NO!	0
usually, yes	87
usually	100
possibly but it's doubtful	100
yes!	99
YESSSSS!!!!! :):)	89
usually, yes	89
maybe	100
not quite	100
not really	100
no in general	100
no, it can be but not necessarily	32
hmm, I'd say yes in general 	100
could be but not necessarily	62
yes definitely	99
no not necessarily but could be	77
hmm not exactly... (but again one could) 	50
not necessarily	32
yup	99
it's possible, but generally i guess i'd say no 	8
no, not necessarily	7
I think so	55
rarely	75
certainly not	100
no	100
generally	45
not certainly	15
rarely	23
not probably	16
generally	72
usually not	9
sort of	80
perhaps	53
probably not	18
no	0
I think so	87
I don't think so	36
definitely not	11
not usually	9
probably	63
in general no	8
possibly	55
usually not	36
possibly not	43
nope	0
definitely not	82
in general yes	92
definitely	100
in general yes	89
I don't think so	38
sometimes	50
not usually	62
not certainly	42
yep	100
definitely	100
rarely	81
sort of	50
certainly	68
yep	100
not definitely	54
usually	75
nope	3
not possibly	10
not probably	31
not definitely	34
sort of	55
yes	88
no	0
sometimes	52
yep	100
not possibly	33
it depends	39
yes, very likely	91
perhaps	56
not probably	6
yes, it can be	68
I think so kind of	56
possibly not	93
YESSSSS!!!!! :):)	100
usually, yes	64
not certainly	10
not certainly	91
no not necessarily at least	34
ah...hmmmm.... i guess i have to say no... 	40
no	99
not usually	17
yes!	100
mostly	40
it's possible, but generally i guess i'd say no 	37
hmm, I'd say yes in general 	85
could be both yes and no	50
not exactly	34
yes, definitely	100
no not really	41
usually not	81
yes, definitely	100
usually, yes	65
I'm going to say yes	90
not really	55
YES!!!	100
no not exactly	95
NO!	0
yes, in general	87
Uhm not necessarily	40
not quite	14
almost	60
hmm not exactly... (but again one could) 	53
yes to some extent	60
no not exactly	0
it's possible, but generally i guess i'd say no 	44
YES!!!	100
yes, very likely	64
I'm going to say yes	100
yes, it could	62
yea	57
yes to some extent	71
yes to some extent	84
possibly but it's doubtful	46
I don't think so	85
possibly, yes	59
that's a hard one... I guess not really	38
yes, that's right	83
yes but not necessarily	56
no, not necessarily	28
yes, it could	64
I'm going to say yes	64
hmm not exactly... (but again one could) 	44
yes!!	100
could be both yes and no	51
not that much	57
yup	100
hmm not exactly... (but again one could) 	51
usually	76
not quite	44
maybe	53
i would say yes	76
yes, I think so	60
i would say yes	100
yes!!	86
almost	48
possibly but it's doubtful	19
yes!	87
yes usually	79
that's a hard one... I guess not really	47
possibly, yes	71
no, not generally	14
NO!	89
sort of	59
sometimes	53
yes it can be	69
nono	0
could be but not necessarily	51
depends	50
yes it can be	66
no, not necessarily	84
yes to some extent	69
not necessarily	48
that's a hard one... I guess not really	38
possibly, yes	68
no, not at all	0
hmm, I'd say yes in general 	66
yes i would assume so yes 	69
YESSSSS!!!!! :):)	100
nono	19
yes, that's right	90
:) not sure, maybe	55
no, not necessarily	12
not quite	27
:) not sure, maybe	50
it can be but not necessarily	57
yes, in general	82
could be but not necessarily	36
maybe	50
generally	74
no, not usuallly	35
depends	51
nope	86
ah...hmmmm.... i guess i have to say no... 	32
ah...hmmmm.... i guess i have to say no... 	30
mostly not	33
no not necessarily but could be	27
that's a hard one... I guess not really	36
yes in general	60
it can be but not necessarily	50
yup	100
ah...hmmmm.... i guess i have to say no... 	42
yes, that's right	100
could be both yes and no	55
no not necessarily but could be	54
no, not usuallly	5
no in general	46
not that much	61
yes, in general	67
no, it can be but not necessarily	59
yes it can be	78
it can be but not necessarily	54
yes, in general	68
yes but not necessarily	65
no not exactly	33
yes!!	100
yes, very likely	93
eh... yes, you could say so. 	58
maybe	52
not quite	35
NO!	0
possibly	52
definitely	100
in general, no	11
usually, yes	86
perhaps	30
probably not	11
certainly not	0
no	1
in general yes	89
not possibly	62
not usually	13
usually	79
certainly	83
yep	95
sometimes	69
it depends	26
possibly	66
nope	3
I don't think so	16
yes usually	88
yes, definitely	94
yup	95
no, it can be but not necessarily	27
maybe	62
I think so	77
depends	26
I think so kind of	79
yes at least possibly	81
YESSSSS!!!!! :):)	98
no not really	13
could be but not necessarily	32
yes it can be	69
no it doesn't really relate	15
yes, in general	86
I think so...	68
yes!	100
yes i would assume so yes 	94
yes!!!	98
sort of	58
yes, it is possible	70
Uhm not necessarily	27
yes	100
probably	73
yes, that's right	100
:) not sure, maybe	32
yes, very likely	97
could be both yes and no	49
mostly not	13
no, not necessarily	6
hmm not exactly... (but again one could) 	50
usually	87
I don't think so	17
generally	80
usually not	15
possibly	52
definitely	100
certainly not	0
possibly not	28
certainly	100
not possibly	0
in general yes	78
mostly	77
no	0
definitely not	0
sort of	55
not really	27
not exactly	33
yes, in general	76
no, not normally	29
usually, yes	76
not probably	24
no, not usuallly	15
perhaps	55
yes!!!	100
certainly	100
sometimes	58
kind of	56
probably	61
yes, very likely	89
generally	74
possibly, yes	63
certainly not	0
it depends	46
perhaps	47
I think so	71
usually not	11
not definitely	40
no, it can be but not necessarily	41
not certainly	44
mostly	79
definitely	98
no not exactly	22
possibly	48
YES!!!	100
i would say yes	74
yes usually	91
it can be but not necessarily	43
yes to some extent	69
yes at least possibly	67
no, not generally	6
no it doesn't really relate	3
no not exactly	8
yes, it can be	69
yes, it is possible	63
not that much	19
yes!!	100
yes, it could	82
yes definitely	100
yes but not necessarily	59
not really	14
no, not necessarily	35
yes, it can be	78
NO!	0
no, not at all	2
possibly but it's doubtful	26
yes definitely	100
usually, yes	84
depends	47
yup	95
yes	100
not definitely	0
no, it can be but not necessarily	20
could be but not necessarily	61
definitely not	0
I think so kind of	74
certainly	100
not certainly	27
yes to some extent	77
not necessarily	41
probably not	25
yes it can be	77
I don't think so	26
usually	100
probably	77
Uhm not necessarily	19
probably	69
yes, I think so	77
YESSSSS!!!!! :):)	98
sort of	57
I think so	74
kind of	60
ah...hmmmm.... i guess i have to say no... 	33
not probably	26
yes, definitely	97
no not necessarily at least	35
in general no	11
nope	0
hmm not exactly... (but again one could) 	38
rarely	0
yup	71
I think so...	72
possibly but it's doubtful	35
yes, it is possible	94
i would say yes	86
i would say yes	90
generally yes, but not necessarily	65
could be but not necessarily	41
yes, it can be	73
no, not usuallly	8
could be both yes and no	53
no, not normally	3
yes it can be	71
YES!!!	100
YESSSSS!!!!! :):)	100
hmm, I'd say yes in general 	65
hmm not exactly... (but again one could) 	32
yes, definitely	65
yes in general	74
possibly, yes	73
generally	83
no it doesn't really relate	18
not necessarily	25
possibly	16
no, not necessarily	12
no, not generally	25
in general, no	29
yea	85
yes i would assume so yes 	79
no not necessarily but could be	17
no not exactly	26
kind of	61
usually, yes	77
yes, very likely	67
no, it can be but not necessarily	25
no not necessarily at least	31
yes, it could	69
probably	43
not usually	60
certainly	89
not possibly	34
usually	64
certainly not	97
generally	59
sort of	37
yes	92
sometimes	41
usually not	24
mostly	77
probably not	28
nope	21
definitely not	7
yup	68
depends	50
possibly but it's doubtful	36
generally yes, but not necessarily	50
not quite	32
yes, that's right	62
yes!	86
in general, no	16
usually, yes	76
not that much	25
yes, I think so	74
could be but not necessarily	35
yes it can be	62
hmm not exactly... (but again one could) 	30
definitely	99
yes I suppose	65
NO!	12
not necessarily	27
hmm, I'd say yes in general 	62
yes, it could	63
no not necessarily but could be	35
kind of	44
I think so	58
no not necessarily at least	43
yea	61
yes i would assume so yes 	62
no	16
possibly	57
no not exactly	33
YESSSSS!!!!! :):)	78
no it doesn't really relate	38
maybe	50
not definitely	68
nope	86
definitely not	69
definitely	96
usually	87
mostly	74
not probably	10
perhaps	75
in general no	12
in general yes	89
possibly not	86
certainly not	89
sort of	80
generally	87
yep	9
yup	80
probably	83
ah...hmmmm.... i guess i have to say no... 	17
not necessarily	88
yes, very likely	81
no not really	84
it can be but not necessarily	78
yes but not necessarily	80
generally yes, but not necessarily	12
I think so	80
yes, I think so	83
yes, it is possible	94
no, not necessarily	81
sometimes	88
yes!!	92
not quite	84
yes to some extent	15
could be both yes and no	79
possibly, yes	77
not really	79
:) not sure, maybe	12
yes it can be	88
almost	77
depends	70
yes usually	5
I think so kind of	10
no not necessarily but could be	17
no	80
yes!	77
in general, no	13
i would say yes	81
mostly not	22
yes, it can be	76
sort of	66
certainly	99
certainly not	3
usually not	61
not possibly	16
perhaps	75
probably not	75
definitely not	0
no	5
in general yes	100
sometimes	64
I don't think so	4
possibly	100
not usually	8
yes	97
yes, it could	99
yes!!!	100
I think so kind of	60
yes in general	100
eh... yes, you could say so. 	100
not quite	8
yes definitely	100
no not really	9
mostly not	0
yes!	100
yes at least possibly	95
yes usually	100
it can be but not necessarily	27
hmm not exactly... (but again one could) 	71
:) not sure, maybe	88
it's possible, but generally i guess i'd say no 	0
not exactly	0
possibly, yes	100
mostly	46
no, not necessarily	5
generally	98
I think so...	96
not necessarily	14
no, not usuallly	14
yes, it is possible	100
depends	58
hmm, I'd say yes in general 	100
no not exactly	0
NO!	0
yes!!	100
usually not	37
not usually	17
kind of	63
no not necessarily but could be	17
usually, yes	96
possibly not	53
not definitely	57
in general no	53
not possibly	21
possibly	55
probably	56
not certainly	19
generally	43
I think so	100
not probably	10
certainly not	18
rarely	7
not exactly	11
yes!!	100
it can be but not necessarily	40
I don't think so	1
sometimes	48
definitely	100
I think so...	99
yes but not necessarily	61
yes, it can be	65
