stimuli	l	u
no, not generally	6	91
no, not generally	0	92
no, not generally	7	53
no, not necessarily	0	67
no, not necessarily	17	58
no, not necessarily	8	8
no, not necessarily	0	14
no, not necessarily	0	17
no, not necessarily	0	17
no, not necessarily	0	55
no, not necessarily	0	36
no, not necessarily	13	63
no, not necessarily	0	34
no, not necessarily	8	35
no, not necessarily	0	0
no, not necessarily	0	13
no, not necessarily	0	23
no, not necessarily	5	43
no, not necessarily	0	23
no, not necessarily	2	14
no, not necessarily	25	40
no, not necessarily	7	10
no, not necessarily	3	12
no, not necessarily	0	42
no, not necessarily	6	38
no, not necessarily	15	17
no, not necessarily	0	30
no, not necessarily	6	92
no, not necessarily	4	54
no, not necessarily	20	84
no, not necessarily	23	81
no, not necessarily	0	36
no, not necessarily	0	49
no, not necessarily	0	33
no, not normally	15	55
no, not normally	0	24
no, not normally	0	0
no, not normally	4	27
no, not normally	0	28
no, not normally	0	13
no, not normally	0	9
no, not normally	0	22
no, not normally	5	31
no, not normally	0	0
no, not normally	25	97
no, not normally	0	2
no, not normally	7	19
no, not normally	0	37
no, not normally	7	45
no, not normally	9	95
no, not normally	5	40
no, not normally	12	94
no, not usuallly	7	33
no, not usuallly	0	29
no, not usuallly	0	22
no, not usuallly	10	52
no, not usuallly	13	66
no, not usuallly	0	22
no, not usuallly	0	55
no, not usuallly	7	63
no, not usuallly	0	23
no, not usuallly	0	14
no, not usuallly	12	56
no, not usuallly	18	18
no, not usuallly	0	0
no, not usuallly	0	13
no, not usuallly	0	72
no, not usuallly	0	8
no, not usuallly	0	11
no, not usuallly	0	32
no, not usuallly	3	25
no, not usuallly	0	66
no, not usuallly	4	4
no, not usuallly	4	12
no, not usuallly	0	20
no, not usuallly	3	8
no, not usuallly	0	43
no, not usuallly	7	34
no, not usuallly	14	54
no, not usuallly	4	25
no, not usuallly	0	20
no, not usuallly	0	38
no, not usuallly	8	14
no, not usuallly	0	59
nono	0	14
nono	0	0
nono	0	41
nono	0	12
nono	0	7
nono	0	0
nono	0	0
nono	0	37
nono	0	7
nono	0	29
nono	24	42
nono	0	0
nono	13	15
nono	0	0
nono	0	14
nono	0	8
nono	0	0
nono	0	0
nono	0	0
nono	0	1
nono	0	3
nope	0	0
nope	0	0
nope	0	0
nope	0	15
nope	0	10
nope	0	10
nope	0	1
nope	0	2
nope	0	5
nope	0	0
nope	0	0
nope	3	12
nope	0	1
nope	0	0
nope	0	11
nope	0	0
nope	0	54
nope	0	0
nope	0	5
nope	0	0
nope	0	0
nope	2	2
nope	0	21
nope	0	2
nope	0	0
nope	0	0
nope	0	0
nope	0	0
nope	0	7
nope	0	2
nope	0	11
not certainly	0	30
not certainly	5	5
not certainly	0	37
not certainly	14	57
not certainly	25	77
not certainly	0	34
not certainly	0	35
not certainly	0	28
not certainly	0	50
not certainly	40	94
not certainly	21	35
not certainly	13	54
not certainly	18	26
not definitely	0	89
not definitely	0	17
not definitely	23	47
not definitely	35	74
not definitely	0	18
not definitely	46	63
not definitely	0	44
not definitely	0	51
not definitely	7	12
not definitely	60	78
not definitely	23	89
not definitely	18	68
not definitely	0	24
not definitely	0	24
not definitely	0	64
not definitely	23	78
not definitely	11	80
not definitely	16	84
not exactly	13	50
not exactly	0	34
not exactly	14	34
not exactly	26	67
not exactly	37	89
not exactly	15	89
not exactly	0	21
not exactly	46	100
not exactly	6	45
not exactly	8	25
not exactly	4	25
not exactly	1	100
not exactly	6	39
not exactly	8	41
not exactly	15	44
not exactly	5	26
not exactly	0	64
not exactly	8	71
not exactly	9	69
not exactly	24	81
not necessarily	5	68
not necessarily	20	79
not necessarily	18	18
not necessarily	21	38
not necessarily	10	45
not necessarily	1	22
not necessarily	0	39
not necessarily	15	93
not necessarily	12	12
not necessarily	33	59
not necessarily	10	22
not necessarily	5	6
not necessarily	9	44
not necessarily	32	73
not necessarily	17	62
not necessarily	16	63
not necessarily	36	66
not necessarily	23	72
not possibly	0	14
not possibly	0	24
not possibly	3	34
not possibly	0	15
not possibly	3	8
not possibly	0	17
not possibly	28	65
not possibly	0	9
not possibly	13	13
not possibly	0	34
not possibly	0	51
not possibly	7	7
not possibly	0	0
not possibly	22	28
not possibly	8	15
not possibly	35	70
not possibly	10	20
not probably	36	69
not probably	27	27
not probably	6	24
not probably	0	14
not probably	10	42
not probably	7	31
not probably	5	30
not probably	5	22
not probably	0	12
not probably	0	5
not probably	13	57
not probably	0	53
not probably	0	57
not probably	8	8
not probably	25	30
not probably	7	57
not probably	14	31
not probably	12	42
not probably	5	52
not probably	26	81
not probably	13	33
not probably	0	100
not quite	19	51
not quite	0	37
not quite	0	7
not quite	6	25
not quite	29	29
not quite	100	100
not quite	0	19
not quite	0	28
not quite	32	100
not quite	39	100
not quite	0	39
not quite	47	71
not quite	35	69
not quite	5	35
not quite	10	34
not quite	0	45
not quite	5	68
not quite	15	89
not quite	10	37
not really	4	47
not really	7	7
not really	15	47
not really	4	28
not really	14	36
not really	0	40
not really	7	16
not really	0	16
not really	0	16
not really	0	24
not really	0	8
not really	0	13
not really	10	10
not really	10	32
not really	8	62
not really	83	95
not really	4	29
not really	7	24
not really	0	14
not really	0	21
not that much	0	19
not that much	7	52
not that much	5	59
not that much	0	24
not that much	0	29
not that much	29	52
not that much	37	67
not that much	37	67
not that much	0	37
not that much	0	26
not that much	0	32
not that much	8	22
not that much	5	24
not that much	16	25
not that much	21	72
not that much	7	20
not that much	0	52
not that much	7	52
not that much	22	64
not that much	20	20
not that much	6	48
not that much	13	20
not that much	16	90
not that much	0	30
not that much	9	9
not usually	8	34
not usually	69	86
not usually	11	90
not usually	5	65
not usually	7	8
not usually	0	18
not usually	0	19
not usually	0	14
not usually	24	48
not usually	0	42
not usually	27	49
not usually	0	36
not usually	17	59
not usually	0	32
not usually	4	44
not usually	4	75
not usually	0	57
not usually	14	60
not usually	2	2
not usually	0	23
not usually	0	9
not usually	0	60
not usually	0	17
not usually	4	30
not usually	8	15
not usually	0	28
not usually	0	63
not usually	8	8
not usually	10	40
not usually	3	29
not usually	11	38
not usually	0	54
not usually	0	21
not usually	12	88
not usually	0	4
not usually	18	34
not usually	3	51
not usually	3	11
not usually	7	31
not usually	15	19
not usually	9	35
not usually	10	45
not usually	0	53
not usually	12	12
not usually	8	53
not usually	66	73
not usually	0	51
not usually	7	37
perhaps	44	100
perhaps	72	100
perhaps	87	100
perhaps	40	79
perhaps	49	100
perhaps	59	100
perhaps	43	78
perhaps	12	76
perhaps	33	69
perhaps	50	100
perhaps	66	66
perhaps	48	100
perhaps	23	81
perhaps	18	100
perhaps	30	100
perhaps	54	100
perhaps	33	50
perhaps	53	100
perhaps	49	77
perhaps	27	77
perhaps	50	100
perhaps	27	68
perhaps	70	100
perhaps	38	87
perhaps	46	96
perhaps	53	100
perhaps	58	83
perhaps	100	100
perhaps	56	100
perhaps	24	83
perhaps	35	66
perhaps	95	100
perhaps	49	100
perhaps	71	100
perhaps	29	63
perhaps	22	63
perhaps	59	80
perhaps	71	82
perhaps	45	45
perhaps	46	100
perhaps	47	100
perhaps	39	85
perhaps	22	77
perhaps	55	58
perhaps	16	84
perhaps	50	80
perhaps	43	96
perhaps	37	57
perhaps	54	86
perhaps	47	100
perhaps	33	100
perhaps	19	100
perhaps	33	69
perhaps	48	63
perhaps	32	63
perhaps	25	77
possibly	57	75
possibly	54	92
possibly	47	100
possibly	11	100
possibly	80	100
possibly	42	100
possibly	44	89
possibly	35	100
possibly	60	76
possibly	51	51
possibly	52	100
possibly	48	100
possibly	49	89
possibly	37	68
possibly	37	100
possibly	51	100
possibly	32	76
possibly	6	94
possibly	24	71
possibly	64	100
possibly	76	100
possibly	41	68
possibly	49	49
possibly	40	100
possibly	48	100
possibly	53	62
possibly	7	100
possibly	22	61
possibly	27	63
possibly	51	56
possibly	51	71
possibly	43	100
possibly	58	100
possibly	17	78
possibly	0	79
possibly	72	89
possibly	57	64
possibly	49	77
possibly	50	53
possibly	38	74
possibly	38	67
possibly	33	64
possibly	0	60
possibly	0	100
possibly	55	100
possibly	21	77
possibly	19	78
possibly	73	79
possibly	26	78
possibly	30	64
possibly but it's doubtful	4	40
possibly but it's doubtful	32	47
possibly but it's doubtful	0	58
possibly but it's doubtful	3	37
possibly but it's doubtful	0	69
possibly but it's doubtful	30	61
possibly but it's doubtful	0	59
possibly but it's doubtful	0	50
possibly but it's doubtful	0	73
possibly but it's doubtful	17	40
possibly but it's doubtful	0	14
possibly but it's doubtful	20	48
possibly but it's doubtful	0	10
possibly but it's doubtful	0	19
possibly but it's doubtful	0	50
possibly but it's doubtful	18	61
possibly but it's doubtful	22	22
possibly but it's doubtful	23	32
possibly but it's doubtful	19	63
possibly but it's doubtful	14	46
possibly but it's doubtful	32	48
possibly but it's doubtful	0	62
possibly but it's doubtful	12	19
possibly but it's doubtful	24	44
possibly but it's doubtful	24	44
possibly but it's doubtful	6	44
possibly but it's doubtful	18	86
possibly but it's doubtful	30	58
possibly not	27	76
possibly not	0	26
possibly not	10	53
possibly not	4	75
possibly not	6	32
possibly not	0	51
possibly not	8	69
possibly not	26	61
possibly not	0	39
possibly not	0	30
possibly not	18	49
possibly not	0	28
possibly not	0	74
possibly not	17	57
possibly not	12	65
possibly not	10	44
possibly not	13	30
possibly not	9	26
possibly not	10	58
possibly not	50	50
possibly not	0	68
possibly not	27	70
possibly not	0	45
possibly not	0	1
possibly, yes	53	100
possibly, yes	76	88
possibly, yes	63	100
possibly, yes	75	100
possibly, yes	65	65
possibly, yes	38	93
possibly, yes	70	100
possibly, yes	27	90
possibly, yes	0	69
possibly, yes	90	100
possibly, yes	80	98
possibly, yes	71	89
possibly, yes	3	84
possibly, yes	71	91
possibly, yes	55	100
possibly, yes	41	94
possibly, yes	68	86
possibly, yes	38	92
possibly, yes	67	99
possibly, yes	25	100
probably	62	96
probably	63	100
probably	87	100
probably	77	100
probably	59	100
probably	91	91
probably	54	100
probably	70	100
probably	81	100
probably	69	92
probably	45	86
probably	87	100
probably	35	83
probably	50	100
probably	44	100
probably	48	92
probably	74	100
probably	56	94
probably	76	100
probably	78	100
probably	92	100
probably	55	100
probably	99	100
probably	62	90
probably	70	78
probably	55	69
probably	31	74
probably	78	89
probably	49	84
probably	67	87
probably	44	89
probably	58	72
probably	77	100
probably	72	100
probably	15	100
probably	51	61
probably	94	94
probably not	6	47
probably not	0	58
probably not	0	19
probably not	0	31
probably not	4	59
probably not	8	41
probably not	0	23
probably not	0	7
probably not	0	43
probably not	0	88
probably not	8	21
probably not	19	19
probably not	1	58
probably not	1	20
probably not	7	31
probably not	9	34
probably not	12	81
probably not	0	53
rarely	6	14
rarely	0	12
rarely	10	49
rarely	0	12
rarely	0	14
rarely	0	16
rarely	0	39
rarely	0	17
rarely	0	44
rarely	0	23
rarely	1	21
rarely	0	9
rarely	0	13
rarely	22	75
rarely	5	23
rarely	16	45
sometimes	44	84
sometimes	30	69
sometimes	35	62
sometimes	28	75
sometimes	19	80
sometimes	45	51
sometimes	52	52
sometimes	30	66
sometimes	49	80
sometimes	39	60
sometimes	49	70
sometimes	46	46
sometimes	20	78
sometimes	20	73
sometimes	47	49
sometimes	40	58
sometimes	43	90
sometimes	35	64
sometimes	35	64
sometimes	40	45
sometimes	51	82
sometimes	37	57
sometimes	68	76
sometimes	49	55
sometimes	5	86
sometimes	27	71
sometimes	0	86
sort of	30	83
sort of	40	87
sort of	26	72
sort of	34	94
sort of	24	93
sort of	11	86
sort of	28	88
sort of	31	72
sort of	49	82
sort of	20	79
sort of	53	71
sort of	34	89
sort of	22	65
sort of	0	69
sort of	18	82
sort of	22	80
sort of	55	80
sort of	15	86
sort of	43	44
sort of	0	52
sort of	63	87
sort of	57	78
sort of	57	87
sort of	13	69
sort of	7	84
sort of	63	85
that's a hard one... I guess not really	0	20
that's a hard one... I guess not really	0	33
that's a hard one... I guess not really	8	47
that's a hard one... I guess not really	0	17
that's a hard one... I guess not really	0	38
that's a hard one... I guess not really	15	52
that's a hard one... I guess not really	20	67
that's a hard one... I guess not really	3	8
that's a hard one... I guess not really	0	45
that's a hard one... I guess not really	16	50
that's a hard one... I guess not really	9	32
that's a hard one... I guess not really	0	42
that's a hard one... I guess not really	0	34
that's a hard one... I guess not really	13	23
that's a hard one... I guess not really	28	28
that's a hard one... I guess not really	28	92
that's a hard one... I guess not really	23	36
that's a hard one... I guess not really	0	56
that's a hard one... I guess not really	38	40
that's a hard one... I guess not really	15	38
that's a hard one... I guess not really	9	44
that's a hard one... I guess not really	28	39
that's a hard one... I guess not really	36	42
that's a hard one... I guess not really	28	28
that's a hard one... I guess not really	29	29
Uhm not necessarily	7	46
Uhm not necessarily	40	51
Uhm not necessarily	28	28
Uhm not necessarily	0	72
Uhm not necessarily	14	42
Uhm not necessarily	42	51
Uhm not necessarily	19	82
Uhm not necessarily	0	18
Uhm not necessarily	0	0
Uhm not necessarily	4	13
Uhm not necessarily	0	81
Uhm not necessarily	0	38
Uhm not necessarily	8	8
Uhm not necessarily	32	57
Uhm not necessarily	3	15
Uhm not necessarily	4	15
Uhm not necessarily	2	51
Uhm not necessarily	10	27
Uhm not necessarily	23	74
Uhm not necessarily	4	37
Uhm not necessarily	21	21
Uhm not necessarily	11	84
Uhm not necessarily	22	62
usually	52	100
usually	79	95
usually	54	80
usually	61	100
usually	83	100
usually	29	94
usually	15	84
usually	55	100
usually	81	100
usually	83	93
usually	68	100
usually	82	100
usually	64	90
usually	72	89
usually	48	91
usually	69	100
usually	47	90
usually	85	96
usually	76	100
usually	48	86
usually	83	100
usually	72	100
usually	64	80
usually	66	74
usually	38	75
usually	19	87
usually	25	86
usually	67	91
usually	62	86
usually	83	83
usually	85	100
usually	45	96
usually	26	34
usually not	7	67
usually not	0	21
usually not	0	49
usually not	12	50
usually not	17	17
usually not	1	37
usually not	6	22
usually not	0	41
usually not	20	25
usually not	4	32
usually not	25	77
usually not	0	11
usually not	0	55
usually not	9	9
usually not	0	15
usually not	17	17
usually not	11	54
usually not	12	39
usually not	16	16
usually not	0	64
usually not	27	89
usually, yes	0	55
usually, yes	52	83
usually, yes	81	100
usually, yes	90	100
usually, yes	57	97
usually, yes	65	93
usually, yes	54	100
usually, yes	69	74
usually, yes	98	100
usually, yes	84	100
usually, yes	60	80
usually, yes	42	100
usually, yes	46	100
usually, yes	37	100
usually, yes	85	85
usually, yes	77	91
usually, yes	93	100
usually, yes	43	100
usually, yes	22	59
usually, yes	85	100
usually, yes	82	96
usually, yes	52	99
usually, yes	67	96
usually, yes	57	87
usually, yes	12	54
usually, yes	82	85
usually, yes	57	92
usually, yes	63	100
yea	74	100
yea	100	100
yea	69	93
yea	85	100
yea	95	100
yea	54	100
yea	91	100
yea	89	100
yea	97	100
yea	72	100
yea	20	66
yea	100	100
yea	20	100
yea	75	100
yea	41	57
yea	100	100
yea	75	100
yea	100	100
yea	93	93
yea	5	17
yea	50	83
yea	87	100
yea	92	99
yea	54	79
yea	69	100
yea	100	100
yea	94	100
yea	80	100
yea	89	89
yep	81	100
yep	77	100
yep	99	100
yep	100	100
yep	67	100
yep	95	100
yep	93	100
yep	93	100
yep	100	100
yep	87	96
yep	100	100
yep	30	100
yep	81	100
yes	100	100
yes	100	100
yes	81	100
yes	100	100
yes	100	100
yes	100	100
yes	96	100
yes	100	100
yes	100	100
yes	100	100
yes	100	100
yes	100	100
yes	93	93
yes	100	100
yes	95	100
yes	100	100
yes	100	100
yes	100	100
yes	99	100
yes	99	100
yes	100	100
yes	68	68
yes	100	100
yes	100	100
yes	100	100
yes	100	100
yes	100	100
yes	85	100
yes	93	100
yes	100	100
yes	92	100
yes	99	100
yes	49	100
yes	100	100
yes	96	100
yes	90	100
yes	100	100
yes	96	100
yes	100	100
yes	100	100
yes	90	97
yes	100	100
yes	87	97
yes	94	100
yes	100	100
yes	93	100
yes	100	100
yes	79	99
yes	100	100
yes at least possibly	38	95
yes at least possibly	71	71
yes at least possibly	0	64
yes at least possibly	61	96
yes at least possibly	38	85
yes at least possibly	57	57
yes at least possibly	54	93
yes at least possibly	78	88
yes at least possibly	43	71
yes at least possibly	69	91
yes at least possibly	81	94
yes at least possibly	44	56
yes at least possibly	65	86
yes at least possibly	17	21
yes at least possibly	66	91
yes at least possibly	71	71
yes at least possibly	24	91
yes but not necessarily	45	91
yes but not necessarily	46	82
yes but not necessarily	36	93
yes but not necessarily	24	88
yes but not necessarily	61	78
yes but not necessarily	68	85
yes but not necessarily	0	68
yes but not necessarily	64	76
yes but not necessarily	62	76
yes but not necessarily	19	21
yes but not necessarily	58	94
yes but not necessarily	39	89
yes but not necessarily	34	83
yes but not necessarily	35	41
yes but not necessarily	39	39
yes but not necessarily	40	88
yes but not necessarily	31	76
yes but not necessarily	31	69
yes but not necessarily	29	71
yes definitely	100	100
yes definitely	93	100
yes definitely	100	100
yes definitely	100	100
yes definitely	100	100
yes definitely	100	100
yes definitely	100	100
yes definitely	100	100
yes definitely	89	100
yes definitely	100	100
yes definitely	100	100
yes definitely	99	100
yes definitely	94	100
yes definitely	85	100
yes definitely	94	100
yes definitely	90	98
yes definitely	100	100
yes definitely	93	100
yes definitely	90	96
yes definitely	100	100
yes definitely	100	100
yes definitely	100	100
yes definitely	100	100
yes definitely	92	100
yes definitely	75	100
yes I suppose	73	87
yes I suppose	62	92
yes I suppose	77	93
yes I suppose	79	100
yes I suppose	74	74
yes I suppose	28	100
yes I suppose	87	100
yes I suppose	61	100
yes I suppose	19	100
yes I suppose	2	78
yes I suppose	71	100
yes I suppose	41	73
yes I suppose	73	98
yes I suppose	71	100
yes I suppose	87	87
yes I suppose	58	100
yes I suppose	69	75
yes I suppose	39	95
yes I suppose	70	100
yes i would assume so yes 	89	100
yes i would assume so yes 	88	100
yes i would assume so yes 	20	89
yes i would assume so yes 	94	94
yes i would assume so yes 	42	85
yes i would assume so yes 	73	100
yes i would assume so yes 	19	100
yes i would assume so yes 	82	94
yes i would assume so yes 	75	100
yes i would assume so yes 	72	87
yes i would assume so yes 	59	100
yes i would assume so yes 	50	88
yes i would assume so yes 	94	99
yes i would assume so yes 	82	100
yes i would assume so yes 	87	97
yes i would assume so yes 	52	88
yes i would assume so yes 	45	89
yes i would assume so yes 	35	83
yes i would assume so yes 	87	100
yes i would assume so yes 	62	69
yes i would assume so yes 	66	100
yes i would assume so yes 	47	100
yes in general	77	92
yes in general	69	98
yes in general	92	100
yes in general	89	100
yes in general	89	100
yes in general	90	100
yes in general	49	100
yes in general	84	100
yes in general	81	100
yes in general	65	100
yes in general	86	100
yes in general	77	100
yes in general	100	100
yes in general	12	100
yes in general	91	100
yes in general	100	100
yes in general	92	100
yes in general	68	89
yes in general	80	89
yes in general	75	100
yes in general	37	83
yes in general	86	100
yes in general	78	88
yes in general	68	92
yes in general	73	96
yes in general	56	85
yes in general	88	88
yes in general	100	100
yes it can be	82	82
yes it can be	79	95
yes it can be	48	100
yes it can be	91	91
yes it can be	50	94
yes it can be	47	75
yes it can be	80	89
yes it can be	99	99
yes it can be	11	58
yes it can be	44	96
yes it can be	88	88
yes it can be	31	74
yes it can be	58	91
yes it can be	24	57
yes it can be	33	57
yes to some extent	62	100
yes to some extent	46	100
yes to some extent	62	100
yes to some extent	60	93
yes to some extent	55	100
yes to some extent	69	100
yes to some extent	35	100
yes to some extent	70	100
yes to some extent	82	100
yes to some extent	37	100
yes to some extent	54	89
yes to some extent	95	100
yes to some extent	53	81
yes to some extent	92	92
yes to some extent	65	88
yes to some extent	67	85
yes to some extent	62	78
yes to some extent	61	78
yes to some extent	48	100
yes to some extent	84	92
yes to some extent	80	100
yes to some extent	87	100
yes to some extent	59	100
yes to some extent	56	98
yes to some extent	81	82
yes to some extent	76	96
yes to some extent	32	100
yes to some extent	49	89
yes usually	89	100
yes usually	90	100
yes usually	85	100
yes usually	72	100
yes usually	88	100
yes usually	91	100
yes usually	32	91
yes usually	32	91
yes usually	85	100
yes usually	64	92
yes usually	83	100
yes usually	72	100
yes usually	74	100
yes usually	77	91
yes usually	39	64
yes usually	45	95
yes usually	84	100
yes usually	88	88
yes usually	80	87
yes usually	41	93
yes usually	57	91
yes usually	35	86
yes usually	65	87
yes!	100	100
yes!	94	100
yes!	91	100
yes!	92	100
yes!	100	100
yes!	100	100
yes!	93	100
yes!	94	100
yes!	100	100
yes!	100	100
yes!	100	100
yes!	98	100
yes!	91	100
yes!	100	100
yes!	100	100
yes!	100	100
yes!	100	100
yes!	100	100
yes!	100	100
yes!	89	100
yes!	86	100
yes!	85	100
yes!	100	100
yes!	100	100
yes!	89	100
yes!	84	100
yes!	92	100
yes!	47	71
yes!!	100	100
yes!!	100	100
yes!!	100	100
yes!!	100	100
yes!!	100	100
yes!!	100	100
yes!!	93	100
yes!!	94	100
yes!!	93	100
yes!!	100	100
yes!!	100	100
yes!!	100	100
yes!!	79	100
yes!!	100	100
yes!!	100	100
yes!!	80	100
yes!!	100	100
yes!!	93	100
yes!!	100	100
yes!!	97	100
yes!!	95	100
yes!!	98	100
yes!!	90	100
yes!!	100	100
yes!!	100	100
yes!!	100	100
yes!!	88	100
yes!!	91	100
yes!!	95	100
yes!!!	100	100
yes!!!	70	100
YES!!!	100	100
yes!!!	100	100
YES!!!	98	100
yes!!!	100	100
yes!!!	100	100
yes!!!	100	100
yes!!!	100	100
YES!!!	100	100
YES!!!	96	100
YES!!!	100	100
YES!!!	93	100
yes!!!	100	100
YES!!!	100	100
yes!!!	100	100
yes!!!	100	100
YES!!!	100	100
YES!!!	93	100
yes!!!	89	96
YES!!!	100	100
yes!!!	100	100
YES!!!	89	99
yes!!!	94	100
YES!!!	94	100
YES!!!	100	100
YES!!!	100	100
yes!!!	100	100
YES!!!	99	100
YES!!!	100	100
YES!!!	100	100
yes!!!	81	100
YES!!!	100	100
yes!!!	100	100
YES!!!	92	100
YES!!!	100	100
yes!!!	100	100
yes!!!	100	100
yes!!!	88	100
YES!!!	93	100
yes!!!	100	100
yes!!!	100	100
YES!!!	99	100
YES!!!	100	100
yes, definitely	86	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	95	100
yes, definitely	96	100
yes, definitely	65	100
yes, definitely	95	96
yes, definitely	92	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	94	100
yes, definitely	32	100
yes, definitely	100	100
yes, definitely	5	13
yes, definitely	100	100
yes, definitely	23	92
yes, definitely	100	100
yes, definitely	89	100
yes, definitely	100	100
yes, definitely	100	100
yes, definitely	94	99
yes, definitely	64	98
yes, definitely	100	100
yes, I think so	54	100
yes, I think so	69	100
yes, I think so	71	100
yes, I think so	89	100
yes, I think so	21	100
yes, I think so	55	100
yes, I think so	81	100
yes, I think so	73	100
yes, I think so	65	65
yes, I think so	74	93
yes, I think so	100	100
yes, I think so	88	96
yes, I think so	62	100
yes, I think so	71	93
yes, I think so	66	100
yes, I think so	32	94
yes, I think so	65	100
yes, I think so	6	67
yes, I think so	27	78
yes, I think so	45	100
yes, in general	80	100
yes, in general	78	100
yes, in general	88	100
yes, in general	59	97
yes, in general	50	100
yes, in general	74	95
yes, in general	84	100
yes, in general	65	65
yes, in general	100	100
yes, in general	18	61
yes, in general	85	100
yes, in general	12	100
yes, in general	0	88
yes, in general	44	100
yes, in general	90	100
yes, in general	0	88
yes, in general	87	100
yes, in general	88	96
yes, in general	96	100
yes, in general	18	100
yes, in general	81	81
yes, in general	70	84
yes, in general	26	61
yes, in general	66	100
yes, in general	58	93
yes, in general	65	95
yes, in general	65	95
yes, in general	33	94
yes, in general	55	100
yes, in general	71	100
yes, in general	90	90
yes, in general	57	57
yes, in general	16	86
yes, in general	76	76
yes, in general	49	100
yes, in general	40	100
yes, it can be	17	91
yes, it can be	67	90
yes, it can be	62	100
yes, it can be	90	90
yes, it can be	74	100
yes, it can be	65	93
yes, it can be	80	80
yes, it can be	22	100
yes, it can be	0	77
yes, it can be	78	98
yes, it can be	22	74
yes, it can be	81	100
yes, it can be	54	100
yes, it can be	36	76
yes, it can be	84	93
yes, it can be	48	90
yes, it can be	42	88
yes, it can be	65	100
yes, it can be	43	100
yes, it can be	83	100
yes, it can be	100	100
yes, it can be	58	58
yes, it can be	44	87
yes, it can be	60	94
yes, it could	96	100
yes, it could	44	100
yes, it could	84	100
yes, it could	54	84
yes, it could	63	93
yes, it could	26	100
yes, it could	84	100
yes, it could	70	100
yes, it could	20	100
yes, it could	31	96
yes, it could	95	100
yes, it could	76	100
yes, it could	54	95
yes, it could	0	78
yes, it could	32	67
yes, it could	0	80
yes, it could	95	98
yes, it could	33	100
yes, it could	68	99
yes, it could	62	89
yes, it could	65	84
yes, it could	79	90
yes, it could	73	100
yes, it could	80	100
yes, it could	27	76
yes, it could	81	90
yes, it could	51	100
yes, it could	35	83
yes, it could	67	100
yes, it could	49	97
yes, it could	15	100
yes, it could	71	100
yes, it is possible	65	100
yes, it is possible	23	58
yes, it is possible	94	94
yes, it is possible	68	100
yes, it is possible	71	100
yes, it is possible	93	100
yes, it is possible	74	100
yes, it is possible	83	100
yes, it is possible	55	100
yes, it is possible	48	100
yes, it is possible	99	100
yes, it is possible	67	100
yes, it is possible	12	87
yes, it is possible	100	100
yes, it is possible	71	100
yes, it is possible	87	95
yes, it is possible	84	96
yes, it is possible	26	100
yes, it is possible	87	100
yes, it is possible	66	78
yes, it is possible	81	84
yes, it is possible	74	100
yes, it is possible	50	99
yes, it is possible	89	89
yes, it is possible	48	95
yes, it is possible	31	75
yes, it is possible	36	100
yes, it is possible	80	100
yes, it is possible	30	88
yes, it is possible	51	100
yes, that's right	100	100
yes, that's right	60	100
yes, that's right	100	100
yes, that's right	78	100
yes, that's right	100	100
yes, that's right	93	100
yes, that's right	100	100
yes, that's right	100	100
yes, that's right	42	100
yes, that's right	83	100
yes, that's right	77	100
yes, that's right	100	100
yes, that's right	88	94
yes, that's right	9	100
yes, that's right	6	24
yes, that's right	75	100
yes, that's right	99	99
yes, that's right	93	100
yes, that's right	100	100
yes, that's right	90	96
yes, that's right	22	95
yes, that's right	77	97
yes, that's right	100	100
yes, that's right	100	100
yes, that's right	96	100
yes, that's right	100	100
yes, that's right	84	100
yes, very likely	92	100
yes, very likely	95	100
yes, very likely	95	95
yes, very likely	91	100
yes, very likely	85	100
yes, very likely	83	100
yes, very likely	83	100
yes, very likely	100	100
yes, very likely	40	90
yes, very likely	91	100
yes, very likely	72	100
yes, very likely	100	100
yes, very likely	91	100
yes, very likely	99	100
yes, very likely	91	98
yes, very likely	93	100
yes, very likely	78	78
yes, very likely	87	96
yes, very likely	69	93
yes, very likely	45	97
yes, very likely	64	100
yes, very likely	95	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	88	100
YESSSSS!!!!! :):)	99	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	91	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	93	100
YESSSSS!!!!! :):)	95	100
YESSSSS!!!!! :):)	96	96
YESSSSS!!!!! :):)	95	100
YESSSSS!!!!! :):)	99	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	80	100
YESSSSS!!!!! :):)	96	100
YESSSSS!!!!! :):)	94	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	94	100
YESSSSS!!!!! :):)	100	100
YESSSSS!!!!! :):)	100	100
yup	74	100
yup	92	98
yup	89	100
yup	100	100
yup	46	100
yup	100	100
yup	100	100
yup	89	100
yup	83	100
yup	86	100
yup	88	100
yup	86	100
yup	100	100
yup	95	95
yup	100	100
yup	48	88
yup	45	100
